21/03/22 04:04:06: ConnectWeighingDevice: success
21/03/22 04:04:09: ConnectWeighingDevice: success
21/03/22 04:06:14: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:15: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:16: HandleDataReceive: signal: =0.00000=0.00000=0.00000=0.00000=0.0000-=0.0000-=0.00000=0.0
21/03/22 04:06:16: GetCacheItem: Value: =0.00000=0.00000=0.00000=0.00000=0.0000-=0.0000-=0.00000=0.0
21/03/22 04:06:16: GetWeighingValue: weight: 0
21/03/22 04:06:17: HandleDataReceive: signal: 0000=0.00000=0.00000=0.00000=0.00000=0.00000=0.00000=0.00000
21/03/22 04:06:18: HandleDataReceive: signal: =0.00000=0.00000=0.00000=0.00000=0.00000=0.00000=0.00000=0.
21/03/22 04:06:18: HandleDataReceive: signal: 00000=0.00000=0.00000=0.00000=0.00000=0.0000-=0.0000-=0.0000-
21/03/22 04:06:19: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:19: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:19: GetWeighingValue: weight: 0
21/03/22 04:06:20: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:21: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:06:22: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:22: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:23: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:23: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:23: GetWeighingValue: weight: 0
21/03/22 04:06:24: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:25: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:26: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:26: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:27: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:27: GetWeighingValue: weight: 0
21/03/22 04:06:27: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:28: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:28: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:28: GetWeighingValue: weight: 0
21/03/22 04:06:29: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:30: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:30: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:31: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:06:31: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:06:31: GetWeighingValue: weight: 0
21/03/22 04:06:32: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:33: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:06:34: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:34: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:34: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:34: GetWeighingValue: weight: 0
21/03/22 04:06:35: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:36: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:06:37: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:38: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:38: GetCacheItem: Value: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:38: GetWeighingValue: weight: 0
21/03/22 04:06:38: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:39: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:40: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:41: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:06:42: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:42: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:43: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:44: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:44: GetWeighingValue: weight: 0
21/03/22 04:06:44: GetCacheItem: Value: 
21/03/22 04:06:44: GetWeighingValue: weight: 0
21/03/22 04:06:44: HandleDataReceive: signal: -=0.0000-=0.0000-=0.00000=0.00000=0.0000-=0.0000-=0.0000-=
21/03/22 04:06:45: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:46: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:46: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:46: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:46: GetWeighingValue: weight: 0
21/03/22 04:06:47: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:48: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:49: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:50: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:50: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:50: GetWeighingValue: weight: 0
21/03/22 04:06:50: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:51: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:52: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00000
21/03/22 04:06:53: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:53: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:53: GetWeighingValue: weight: 0
21/03/22 04:06:54: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:54: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:55: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:55: GetCacheItem: Value: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:55: GetWeighingValue: weight: 0
21/03/22 04:06:56: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:06:57: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:58: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:06:58: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:58: GetCacheItem: Value: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:58: GetWeighingValue: weight: 0
21/03/22 04:06:59: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:07:00: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:01: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:02: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:02: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:02: GetWeighingValue: weight: 0
21/03/22 04:07:02: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:03: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:07:04: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:05: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:05: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:05: GetWeighingValue: weight: 0
21/03/22 04:07:06: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:06: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:07: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:07: GetCacheItem: Value: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:07: GetWeighingValue: weight: 0
21/03/22 04:07:08: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:07:09: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:10: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:11: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:11: GetCacheItem: Value: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:11: GetWeighingValue: weight: 0
21/03/22 04:07:11: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:12: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:13: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:14: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:14: GetCacheItem: Value: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:14: GetWeighingValue: weight: 0
21/03/22 04:07:15: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:07:15: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:16: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:17: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:17: GetCacheItem: Value: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:17: GetWeighingValue: weight: 0
21/03/22 04:07:18: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:19: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:19: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:19: GetCacheItem: Value: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:19: GetWeighingValue: weight: 0
21/03/22 04:07:20: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:07:21: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:22: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:23: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:23: GetCacheItem: Value: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:23: GetWeighingValue: weight: 0
21/03/22 04:07:23: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:24: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:25: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:26: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:26: GetWeighingValue: weight: 0
21/03/22 04:07:26: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:27: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:07:27: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:28: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:28: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:28: GetWeighingValue: weight: 0
21/03/22 04:07:29: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:30: HandleDataReceive: signal: =0.00000=0.00000=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:31: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:31: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:32: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:33: GetCacheItem: Value: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:33: GetWeighingValue: weight: 0
21/03/22 04:07:33: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:07:34: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:35: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:35: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:36: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:36: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:36: GetWeighingValue: weight: 0
21/03/22 04:07:37: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:38: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:39: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:39: GetWeighingValue: weight: 0
21/03/22 04:07:39: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:39: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:40: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:41: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:07:41: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:07:41: GetWeighingValue: weight: 0
21/03/22 04:07:42: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:43: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:43: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:43: GetCacheItem: Value: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:43: GetWeighingValue: weight: 0
21/03/22 04:07:44: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:45: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:46: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:47: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:07:47: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:47: GetCacheItem: Value: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:47: GetWeighingValue: weight: 0
21/03/22 04:07:48: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:07:49: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:50: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:50: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:50: GetWeighingValue: weight: 0
21/03/22 04:07:51: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:51: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:07:52: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:53: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:53: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:07:53: GetWeighingValue: weight: 0
21/03/22 04:07:54: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:55: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:07:55: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:56: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:07:57: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:07:58: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:07:59: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:07:59: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:00: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:08:01: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:01: GetCacheItem: Value: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:01: GetWeighingValue: weight: 0
21/03/22 04:08:02: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:08:02: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:08:02: GetWeighingValue: weight: 0
21/03/22 04:08:02: GetCacheItem: Value: 
21/03/22 04:08:02: GetWeighingValue: weight: 0
21/03/22 04:08:03: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:03: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:08:04: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:05: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:08:05: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:08:05: GetWeighingValue: weight: 0
21/03/22 04:08:06: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:07: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:08:07: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:08:07: GetCacheItem: Value: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:08:07: GetWeighingValue: weight: 0
21/03/22 04:08:08: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=
21/03/22 04:08:09: HandleDataReceive: signal: 0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:08:10: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:08:11: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:08:11: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:08:11: GetWeighingValue: weight: 0
